nom_magasin;wilaya;ville_commune;adresse;telephone;email;marques_principales;type_activite;source
Legrand Algérie Alger;Alger;Hydra;Rue de La Madeleine N°33B, Hydra 16000 Alger;0770126473;office.alger@legrandelectric.com;Legrand;distributeur officiel;Legrand DZ
BZ ELECTRICAL;Blida;Blida;Cité Abdelmoumen 03 n° 50, Sidi Abdelkader, 90000 Blida;0550975024;info@bz-electric.com;Legrand;distributeur officiel;Legrand DZ
HITEC ELEC;Alger;Alger;88 Rue Hassiba Ben Bouali, Sidi M'Hamed 16000 Alger;0661564695 / 0661299167;hitec.elec@yahoo.fr;Legrand;distributeur officiel;Legrand DZ
IPS NET;Alger;El Achour;Cité Michele N°13B Local A Oued Terfa El Achour - Alger 16000;0550409439;commercial@ipsnet-dz.com;Legrand;distributeur officiel;Legrand DZ
CDMI;Alger;Kouba;26 Lot El Djanah Lakhdar, Garidi I, Kouba 16000 Alger;023708838 / 0560379562;contact@cdmi-dz.com;Legrand;distributeur officiel;Legrand DZ
KAHLET ELEC;Alger;El Madania;53, Rue Abderahman Lala, El Madania 16000 Alger;0550072188;kelec.sarl@yahoo.fr;Legrand;distributeur officiel;Legrand DZ
ALIEF;Alger;Dar El Beida;Lot n°1, local 01, Groupe 13, El Hamiz Sud 01, Dar El Beida 16000 Alger;028492219 / 0553386322;alief@alief-dz.com;Legrand;distributeur officiel;Legrand DZ
LTC;Alger;Alger;Hai Mimouni 05 , lot n°27- BEK - Alger 16000;0560980576;ltceurl@yahoo.fr;Legrand;distributeur officiel;Legrand DZ
F.M.E.I.D;Oran;Oran;10 rue Mohamed Boudiaf ex rue Mostaganem 31000 Oran;0555994886 / 0661201661;fmeid@siem-electricite.com;Legrand;distributeur officiel;Legrand DZ
PLANETE TECHNO;Constantine;Aïn El Bey;10, Cité Zouaghi Bt.01 Bloc B Local 09 Ain El Bey 25000 Constantine;031692804 / 0770296129;planete.techno@yahoo.fr;Legrand;distributeur officiel;Legrand DZ
FEDELEC;Oran;Bir El Djir;Coopérative Saad Mohamed N°74 Local N°03, Emir Abdelkader, Bir El Djir 31000 Oran;0554285551 / 0770404130;fedeleclegrand@yahoo.fr;Legrand;distributeur officiel;Legrand DZ
LOVAL;Tlemcen;Tlemcen;300 Kiffane Central les Dahlias, 13000 Tlemcen;0661220588 / 043278080;dg@sarlloval.fr;Legrand;distributeur officiel;Legrand DZ
GLOBALDZ;Ouargla;Hassi Messaoud;BP 533 Cité Si El Houasse II, Hassi Messouad 30000 Ouargla;0661380001;com5@globaldz.com;Legrand;distributeur officiel;Legrand DZ
EURL ETP / SARL H.TRADING;Alger;Dar El Beida;Cité SNTP Groupe A Lot 28, El Hamiz, Alger 16000;0550470850;mennasel_electric@yahoo.fr;Legrand;distributeur officiel;legrand.dz
SARL SOMA FLAMME;Alger;Dar El Beida;Cité SNTP Est 32/33, El Hamiz, Dar El Beida 16000;0550277780;samir.hamadou1@gmail.com;Legrand;distributeur officiel;legrand.dz
EURL CINQUELEC;Alger;Birkhadem;12 Lot Ennahda, Birkhadem 16000 Alger;0550936120;a.lataoui@cinquel.com;Legrand;distributeur officiel;legrand.dz
EURL GOLF ARABES;El Oued;El Oued;Haï Chatt, Bloc 23, local N°03, El Oued 39000;0557716551 / 0550509109;atallah.y@hotmail.fr;Legrand;distributeur officiel;legrand.dz
SNC MEDIS;Tizi Ouzou;Tizi Ouzou;Boulevard Krim Belkacem, Tizi Ouzou 15000;0782240842 / 0770978443;medis_snc@yahoo.com;Legrand;distributeur officiel;legrand.dz
SARL SORALEC;Bouira;Bouira;Cité 34 logts LSP Bt N°1, Bouira 10000;0770338633;soralec.sys@gmail.com;Legrand;distributeur officiel;legrand.dz
CE AMOKRANE;Béjaïa;Béjaïa;Zone Urbaine Aissou, Quatre chemins, Béjaïa 06000;0561634246 / 0661630736;am.electric06@gmail.com;Legrand;distributeur officiel;legrand.dz
SARL CEJM ALGERIE;Béjaïa;Béjaïa;Lieu-dit Ferme Azamoum, Béjaïa 06000;0770978454;nassim.lamiri@cejm.eu;Legrand;distributeur officiel;legrand.dz
EURL CONNECT ELEC;Constantine;Constantine;N° 03 et 05 UV 02, projet 265 logts Bt 02, Nouvelle Ville 25000;0661228333 / 031753133;connectelec.algerie@outlook.fr;Legrand;distributeur officiel;legrand.dz
ETS BOUAZIZ FAHIM;M'Sila;M'Sila;Cité 112 Lot Promotion Zaki, M'Sila 28000;0558547700;fahimmsila@yahoo.fr;Legrand;distributeur officiel;legrand.dz
ETS ABDELHADI SOFIANE;Jijel;Jijel;19 Rue Chabii Mekki, Jijel 18000;0661962574;soufianelec@gmail.com;Legrand;distributeur officiel;legrand.dz
MEKKI ELEC;Batna;Batna;Boulevard KL / Route de Biskra, Batna 05000;0661352090 / 0659293715;mekki.elec@gmail.com;Legrand;distributeur officiel;legrand.dz
